,B19013_001E,B15003_017E,B15003_022E,B03002_003E,B03002_004E,B03002_012E,B01001_001E,B23025_004E,B08301_001E,B17001_002E,B25077_001E
"Block Group 1; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:1",111518,4,231,887,0,374,1350,594,594,,505900
"Block Group 2; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:2",61954,125,807,1647,134,334,3372,1325,1272,,-666666666
"Block Group 3; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:3",28198,32,162,249,43,187,1239,430,377,,203900
"Block Group 1; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:1",66596,57,171,288,119,146,1187,378,378,,302100
"Block Group 2; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:2",-666666666,106,224,154,56,329,1187,536,536,,412700
"Block Group 3; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:3",88250,154,161,110,148,684,1155,601,546,,420000
"Block Group 4; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:4",-666666666,29,961,1111,134,265,1646,1223,1223,,564900
"Block Group 1; Census Tract 207.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020701> block group:1",93846,55,199,531,52,193,955,483,483,,492200
"Block Group 2; Census Tract 207.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020701> block group:2",107500,108,176,377,62,58,714,372,364,,419200
"Block Group 1; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:1",-666666666,329,135,377,148,275,1361,580,490,,118100
"Block Group 2; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:2",67031,400,113,563,22,964,2189,1016,1000,,321400
"Block Group 3; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:3",67300,336,461,636,20,502,2758,961,955,,253300
"Block Group 4; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:4",93005,157,253,1396,216,325,2168,977,977,,-666666666
"Block Group 1; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:1",55707,153,252,619,0,139,827,444,444,,377800
"Block Group 2; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:2",90166,149,245,494,504,244,1391,991,441,,451800
"Block Group 3; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:3",91406,246,251,810,232,393,1569,793,622,,292400
"Block Group 4; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:4",58516,374,207,688,0,541,1661,843,843,,364300
"Block Group 1; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:1",110278,139,205,701,0,304,1360,582,538,,396400
"Block Group 2; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:2",58791,243,534,579,2,777,2844,989,982,,453000
"Block Group 3; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:3",61265,177,166,581,387,896,2593,1050,1006,,-666666666
"Block Group 4; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:4",66085,111,254,255,2,598,2014,562,562,,-666666666
"Block Group 1; Census Tract 209.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020901> block group:1",50732,185,383,201,735,640,2636,1439,1439,,230900
"Block Group 2; Census Tract 209.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020901> block group:2",-666666666,153,125,418,144,243,829,429,397,,134100
"Block Group 3; Census Tract 209.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020901> block group:3",60452,301,403,732,684,759,2841,1320,1261,,213000
"Block Group 1; Census Tract 209.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020902> block group:1",42452,548,466,760,584,265,2553,861,836,,119000
"Block Group 2; Census Tract 209.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020902> block group:2",52396,346,242,658,23,277,1652,646,622,,127900
"Block Group 1; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:1",28713,107,271,375,158,109,749,411,394,,-666666666
"Block Group 2; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:2",53048,0,181,283,35,89,565,238,238,,201200
"Block Group 3; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:3",48559,45,329,278,486,46,1134,548,531,,-666666666
"Block Group 4; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:4",76833,96,275,645,0,61,908,477,477,,269700
"Block Group 1; Census Tract 301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030102> block group:1",74813,143,254,656,32,92,1111,694,654,,282300
"Block Group 2; Census Tract 301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030102> block group:2",46464,156,197,497,248,155,1000,696,675,,303800
"Block Group 3; Census Tract 301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030102> block group:3",62472,72,213,347,261,183,1292,791,772,,194300
"Block Group 1; Census Tract 301.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030103> block group:1",38945,64,132,489,78,368,1232,559,549,,313000
"Block Group 2; Census Tract 301.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030103> block group:2",58462,72,307,593,193,172,1068,697,678,,161200
"Block Group 1; Census Tract 301.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030104> block group:1",63306,42,246,1517,237,383,2763,738,711,,143700
"Block Group 2; Census Tract 301.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030104> block group:2",31116,39,160,358,128,131,638,354,354,,-666666666
"Block Group 1; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:1",83107,77,462,925,93,282,1537,1081,1064,,441100
"Block Group 2; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:2",69821,58,282,734,64,216,1136,712,712,,396700
"Block Group 3; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:3",202411,55,295,707,0,101,955,615,615,,600300
"Block Group 4; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:4",118125,403,501,919,0,787,1908,1122,1076,,453100
"Block Group 1; Census Tract 303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030300> block group:1",70802,292,240,488,143,485,1548,1077,1056,,290300
"Block Group 2; Census Tract 303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030300> block group:2",-666666666,362,342,578,482,265,1750,973,1008,,306700
"Block Group 1; Census Tract 304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030400> block group:1",95703,211,360,1044,119,121,1515,806,776,,382100
"Block Group 2; Census Tract 304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030400> block group:2",111500,167,421,649,38,484,1355,985,985,,692000
"Block Group 1; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:1",137731,0,624,1242,61,100,1646,1106,1106,,345700
"Block Group 2; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:2",112467,122,625,905,12,390,1481,1105,1051,,288300
"Block Group 3; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:3",114080,145,412,985,10,453,1574,1211,1211,,287200
