index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 6, Census Tract 2306, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:230600> block group:6",29167,114,1083,0,288,1528,1816,31.3,1046,1797,321,1147,788,102,,,187500,170312306006
"Block Group 1, Census Tract 1909, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:190900> block group:1",54750,91,1471,175,76,1984,2235,32.8,932,2052,60,1249,1166,292,,,274000,170311909001
"Block Group 2, Census Tract 2003, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:200300> block group:2",53365,80,634,64,33,982,1079,27.8,1034,953,22,539,509,18,,,226400,170312003002
"Block Group 5, Census Tract 1101, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110100> block group:5",-666666666,356,959,851,0,324,1279,36.9,1081,1205,37,649,612,105,,,352000,170311101005
"Block Group 4, Census Tract 1101, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110100> block group:4",90341,145,1004,960,22,521,1610,32.8,1121,1485,30,770,740,145,,,308700,170311101004
"Block Group 1, Census Tract 1102, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110200> block group:1",97361,345,1355,1001,42,429,1840,38.2,1551,1734,20,916,831,165,,,306700,170311102001
"Block Group 2, Census Tract 8143, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:814300> block group:2",37750,118,1709,229,57,2655,2958,31.9,813,2872,170,1345,1138,46,,,164600,170318143002
"Block Group 1, Census Tract 8159, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:815900> block group:1",54125,289,958,691,119,110,1034,40.5,926,1009,0,725,725,302,,,-666666666,170318159001
"Block Group 3, Census Tract 8159, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:815900> block group:3",53275,412,1389,746,779,287,1920,33.6,1079,1789,81,1167,1086,169,,,161700,170318159003
"Block Group 1, Census Tract 8087.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:808702> block group:1",68250,190,506,1518,213,296,2628,20.0,-666666666,2610,104,1033,894,117,,,213900,170318087021
"Block Group 3, Census Tract 6606, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:660600> block group:3",26818,49,804,34,307,794,1191,35.8,861,1027,114,494,353,92,,,150500,170316606003
"Block Group 1, Census Tract 6606, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:660600> block group:1",30819,23,656,14,525,448,987,35.4,803,924,139,341,202,24,,,154500,170316606001
"Block Group 5, Census Tract 6606, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:660600> block group:5",32115,57,938,86,799,728,1613,31.5,794,1406,136,825,629,165,,,132100,170316606005
"Block Group 2, Census Tract 6701, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:670100> block group:2",27917,29,348,16,341,99,456,52.8,786,456,105,233,128,8,,,147000,170316701002
"Block Group 1, Census Tract 6708, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:670800> block group:1",31250,0,327,0,373,0,373,55.9,714,373,32,137,105,23,,,119800,170316708001
"Block Group 1, Census Tract 6712, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:671200> block group:1",31331,33,415,27,590,0,617,44.7,1020,568,88,245,157,37,,,-666666666,170316712001
"Block Group 1, Census Tract 6714, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:671400> block group:1",23444,10,504,0,527,90,617,46.7,1104,608,27,242,204,25,,,91500,170316714001
"Block Group 2, Census Tract 6714, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:671400> block group:2",20357,16,386,0,530,0,530,53.5,672,493,71,222,134,34,,,86100,170316714002
"Block Group 2, Census Tract 6715, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:671500> block group:2",26638,0,697,14,825,77,1004,38.3,1191,934,118,371,237,94,,,65600,170316715002
"Block Group 3, Census Tract 6715, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:671500> block group:3",29632,42,506,9,616,27,652,52.1,808,633,73,313,227,99,,,96600,170316715003
"Block Group 2, Census Tract 815, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:081500> block group:2",171538,578,1467,1245,16,35,1497,54.3,2319,1480,0,1103,1103,96,,,726400,170310815002
"Block Group 2, Census Tract 6805, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:680500> block group:2",24779,34,521,36,790,58,884,34.7,1115,844,152,348,196,31,,,154200,170316805002
"Block Group 1, Census Tract 6805, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:680500> block group:1",23173,33,247,0,351,0,351,54.8,818,334,22,140,118,30,,,71300,170316805001
"Block Group 2, Census Tract 8255.03, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825503> block group:2",40685,122,738,35,1277,0,1312,35.2,1756,1266,18,687,669,19,,,112900,170318255032
"Block Group 2, Census Tract 8255.05, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825505> block group:2",54792,48,309,7,409,0,416,44.9,-666666666,400,33,215,166,14,,,138500,170318255052
"Block Group 4, Census Tract 8255.05, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825505> block group:4",-666666666,474,1763,102,2462,6,2780,32.2,1411,2663,254,1260,990,73,,,121300,170318255054
"Block Group 1, Census Tract 8262.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:826202> block group:1",40192,227,827,190,848,187,1246,36.3,927,1188,140,738,577,249,,,112900,170318262021
