index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 2; Census Tract 304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030400> block group:2",106858,347,1012,614,29,477,1333,37.5,1735,1273,0,1010,1010,171,,,662000,170310304002
"Block Group 1; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:1",125417,550,1344,1081,220,63,1604,36.3,1832,1460,36,1162,1126,331,,,292900,170310305001
"Block Group 2; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:2",116071,579,1456,1055,24,420,1588,36.3,1510,1545,0,1314,1272,271,,,286700,170310305002
"Block Group 3; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:3",103889,368,1018,785,32,416,1344,35.5,1358,1234,19,1039,1020,327,,,264900,170310305003
"Block Group 4; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:4",100114,652,1393,867,144,391,1808,35.8,1698,1729,30,1237,1207,525,,,356400,170310305004
"Block Group 1; Census Tract 306.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030601> block group:1",56095,338,873,363,655,121,1404,26.3,1215,1267,23,881,819,263,,,-666666666,170310306011
"Block Group 2; Census Tract 306.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030601> block group:2",35492,257,885,408,64,68,1129,37.4,627,1000,0,559,498,178,,,473000,170310306012
"Block Group 3; Census Tract 306.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030601> block group:3",53077,174,1058,770,230,52,1238,49.0,1169,1232,83,777,681,184,,,222500,170310306013
"Block Group 1; Census Tract 306.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030603> block group:1",74318,223,859,489,207,63,1052,35.8,990,1001,75,644,569,208,,,274300,170310306031
"Block Group 2; Census Tract 306.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030603> block group:2",51167,285,899,579,344,213,1253,29.4,1145,1183,31,926,847,514,,,-666666666,170310306032
"Block Group 1; Census Tract 306.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030604> block group:1",60208,492,883,607,157,71,1005,35.3,1214,993,14,840,826,307,,,217000,170310306041
"Block Group 2; Census Tract 306.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030604> block group:2",70284,319,1160,698,162,180,1343,50.5,1365,1343,39,829,781,148,,,225600,170310306042
"Block Group 3; Census Tract 306.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030604> block group:3",30429,89,514,246,195,0,573,54.0,996,573,10,276,266,97,,,157800,170310306043
"Block Group 1; Census Tract 307.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030701> block group:1",47614,359,1206,670,529,184,1509,38.5,1004,1405,119,931,807,360,,,300000,170310307011
"Block Group 1; Census Tract 307.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030702> block group:1",69042,218,719,431,41,190,923,40.7,1404,895,43,496,446,162,,,198100,170310307021
"Block Group 2; Census Tract 307.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030702> block group:2",69063,413,1299,791,49,102,1343,53.2,1443,1338,124,957,833,170,,,188500,170310307022
"Block Group 1; Census Tract 307.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030703> block group:1",-666666666,187,661,460,69,27,697,40.8,925,697,52,485,433,215,,,308800,170310307031
"Block Group 2; Census Tract 307.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030703> block group:2",15281,163,620,458,78,39,650,79.6,509,650,6,64,58,32,,,-666666666,170310307032
"Block Group 3; Census Tract 307.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030703> block group:3",81381,509,1330,787,285,480,1746,33.8,1424,1701,125,1380,1255,519,,,230200,170310307033
"Block Group 1; Census Tract 307.06; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030706> block group:1",45774,413,1602,1183,171,72,1733,60.6,1510,1714,129,904,775,372,,,411600,170310307061
"Block Group 2; Census Tract 307.06; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030706> block group:2",93397,281,795,390,199,34,855,43.2,1313,838,41,587,546,248,,,344600,170310307062
"Block Group 1; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:1",88333,216,856,703,52,62,1021,37.1,1451,970,61,863,802,311,,,450000,170310308001
"Block Group 2; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:2",101346,264,958,708,73,361,1165,45.1,1742,1068,50,586,536,81,,,493100,170310308002
"Block Group 3; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:3",101367,232,816,853,65,17,1096,41.6,1591,1016,0,733,733,337,,,618100,170310308003
"Block Group 4; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:4",94643,406,761,742,0,0,954,35.3,1657,954,0,778,778,147,,,557500,170310308004
"Block Group 1; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:1",109258,103,374,343,2,98,443,40.3,1741,409,19,299,280,25,,,467000,170310309001
"Block Group 2; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:2",96750,566,1052,942,35,20,1198,32.7,1654,1128,50,944,894,279,,,486500,170310309002
"Block Group 3; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:3",-666666666,141,624,457,63,252,819,36.9,1777,819,28,536,508,64,,,448700,170310309003
"Block Group 4; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:4",115938,321,524,468,0,11,616,39.6,1521,608,6,465,459,98,,,384800,170310309004
"Block Group 1; Census Tract 310; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031000> block group:1",121859,267,677,687,17,192,1053,32.3,2079,979,36,723,687,241,,,456000,170310310001
"Block Group 2; Census Tract 310; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031000> block group:2",140625,380,934,667,5,137,985,40.8,1832,980,32,690,642,114,,,434500,170310310002
